lat,lng,elevation_m
20.2,85.74,35.5
20.2,85.744,34.4
20.2,85.748,29.9
20.2,85.752,30.2
20.2,85.756,34.3
20.2,85.76,33.8
20.2,85.764,35.8
20.2,85.768,33.7
20.2,85.772,29.5
20.2,85.776,29.1
20.2,85.78,35.4
20.2,85.784,32.1
20.2,85.788,32.6
20.2,85.792,34.2
20.2,85.796,32.5
20.2,85.8,33.9
20.2,85.804,29.1
20.2,85.808,29.1
20.2,85.812,34.3
20.2,85.816,29.9
20.2,85.82,30.7
20.2,85.824,32.0
20.2,85.828,30.7
20.2,85.832,29.6
20.2,85.836,30.0
20.2,85.84,32.5
20.2,85.844,30.4
20.2,85.848,31.6
20.2,85.852,33.5
20.2,85.856,30.7
20.2,85.86,34.1
20.2,85.864,35.9
20.2,85.868,32.1
20.2,85.872,35.1
20.2,85.876,29.9
20.2,85.88,31.2
20.2,85.884,34.5
20.2,85.888,29.3
20.2,85.892,34.5
20.2,85.896,31.9
20.2,85.9,34.7
20.2,85.904,34.3
20.2,85.908,30.6
20.2,85.912,34.1
20.2,85.916,31.4
20.2,85.92,30.4
20.204,85.74,29.6
20.204,85.744,35.6
20.204,85.748,36.1
20.204,85.752,34.8
20.204,85.756,34.1
20.204,85.76,30.7
20.204,85.764,35.3
20.204,85.768,32.8
20.204,85.772,30.5
20.204,85.776,33.6
20.204,85.78,29.6
20.204,85.784,32.6
20.204,85.788,35.9
20.204,85.792,29.5
20.204,85.796,36.1
20.204,85.8,35.7
20.204,85.804,30.1
20.204,85.808,30.4
20.204,85.812,33.0
20.204,85.816,34.7
20.204,85.82,30.6
20.204,85.824,32.7
20.204,85.828,32.2
20.204,85.832,32.4
20.204,85.836,30.3
20.204,85.84,30.6
20.204,85.844,32.1
20.204,85.848,33.4
20.204,85.852,31.3
20.204,85.856,33.2
20.204,85.86,36.0
20.204,85.864,30.6
20.204,85.868,35.2
20.204,85.872,32.5
20.204,85.876,35.8
20.204,85.88,31.7
20.204,85.884,31.8
20.204,85.888,32.5
20.204,85.892,32.1
20.204,85.896,33.4
20.204,85.9,32.2
20.204,85.904,30.3
20.204,85.908,35.9
20.204,85.912,32.6
20.204,85.916,34.5
20.204,85.92,32.2
20.208,85.74,29.9
20.208,85.744,35.7
20.208,85.748,31.5
20.208,85.752,33.1
20.208,85.756,33.2
20.208,85.76,30.6
20.208,85.764,32.0
20.208,85.768,31.5
20.208,85.772,31.3
20.208,85.776,33.3
20.208,85.78,32.7
20.208,85.784,31.7
20.208,85.788,34.4
20.208,85.792,30.7
20.208,85.796,35.8
20.208,85.8,29.4
20.208,85.804,35.4
20.208,85.808,34.5
20.208,85.812,32.0
20.208,85.816,32.2
20.208,85.82,32.3
20.208,85.824,32.1
20.208,85.828,34.6
20.208,85.832,32.0
20.208,85.836,31.5
20.208,85.84,36.3
20.208,85.844,29.9
20.208,85.848,35.6
20.208,85.852,36.3
20.208,85.856,30.2
20.208,85.86,35.9
20.208,85.864,30.5
20.208,85.868,34.7
20.208,85.872,36.1
20.208,85.876,34.8
20.208,85.88,34.6
20.208,85.884,31.8
20.208,85.888,34.3
20.208,85.892,33.8
20.208,85.896,31.9
20.208,85.9,29.8
20.208,85.904,32.1
20.208,85.908,32.3
20.208,85.912,31.1
20.208,85.916,32.7
20.208,85.92,35.8
20.212,85.74,32.1
20.212,85.744,34.5
20.212,85.748,29.7
20.212,85.752,34.2
20.212,85.756,30.6
20.212,85.76,33.8
20.212,85.764,36.1
20.212,85.768,30.6
20.212,85.772,31.3
20.212,85.776,33.6
20.212,85.78,34.2
20.212,85.784,30.7
20.212,85.788,30.4
20.212,85.792,30.2
20.212,85.796,34.5
20.212,85.8,32.2
20.212,85.804,34.5
20.212,85.808,36.4
20.212,85.812,30.1
20.212,85.816,35.9
20.212,85.82,35.7
20.212,85.824,30.7
20.212,85.828,32.5
20.212,85.832,34.4
20.212,85.836,33.0
20.212,85.84,33.3
20.212,85.844,35.7
20.212,85.848,33.6
20.212,85.852,34.7
20.212,85.856,34.8
20.212,85.86,36.0
20.212,85.864,35.6
20.212,85.868,30.3
20.212,85.872,33.5
20.212,85.876,35.1
20.212,85.88,35.2
20.212,85.884,31.4
20.212,85.888,31.0
20.212,85.892,34.8
20.212,85.896,34.4
20.212,85.9,29.6
20.212,85.904,30.7
20.212,85.908,33.0
20.212,85.912,30.2
20.212,85.916,35.0
20.212,85.92,32.5
20.216,85.74,32.6
20.216,85.744,31.7
20.216,85.748,32.7
20.216,85.752,31.0
20.216,85.756,31.0
20.216,85.76,30.7
20.216,85.764,33.1
20.216,85.768,33.2
20.216,85.772,30.5
20.216,85.776,33.7
20.216,85.78,31.2
20.216,85.784,31.1
20.216,85.788,35.0
20.216,85.792,35.4
20.216,85.796,31.1
20.216,85.8,36.6
20.216,85.804,35.8
20.216,85.808,32.8
20.216,85.812,36.1
20.216,85.816,30.5
20.216,85.82,34.2
20.216,85.824,30.3
20.216,85.828,30.3
20.216,85.832,30.6
20.216,85.836,30.2
20.216,85.84,29.9
20.216,85.844,31.4
20.216,85.848,33.1
20.216,85.852,35.0
20.216,85.856,29.8
20.216,85.86,31.6
20.216,85.864,36.4
20.216,85.868,34.4
20.216,85.872,35.2
20.216,85.876,30.0
20.216,85.88,31.2
20.216,85.884,35.3
20.216,85.888,32.3
20.216,85.892,33.4
20.216,85.896,36.5
20.216,85.9,31.6
20.216,85.904,33.1
20.216,85.908,35.0
20.216,85.912,34.0
20.216,85.916,32.1
20.216,85.92,34.5
20.22,85.74,32.3
20.22,85.744,32.1
20.22,85.748,31.6
20.22,85.752,32.4
20.22,85.756,32.7
20.22,85.76,34.2
20.22,85.764,36.7
20.22,85.768,36.0
20.22,85.772,35.5
20.22,85.776,29.9
20.22,85.78,36.0
20.22,85.784,32.7
20.22,85.788,35.7
20.22,85.792,36.4
20.22,85.796,30.1
20.22,85.8,30.8
20.22,85.804,33.6
20.22,85.808,36.6
20.22,85.812,35.2
20.22,85.816,31.6
20.22,85.82,33.1
20.22,85.824,34.7
20.22,85.828,36.0
20.22,85.832,33.5
20.22,85.836,34.5
20.22,85.84,29.9
20.22,85.844,34.4
20.22,85.848,36.5
20.22,85.852,32.2
20.22,85.856,34.3
20.22,85.86,36.0
20.22,85.864,36.7
20.22,85.868,35.1
20.22,85.872,34.6
20.22,85.876,31.5
20.22,85.88,33.3
20.22,85.884,35.1
20.22,85.888,35.5
20.22,85.892,32.3
20.22,85.896,36.5
20.22,85.9,36.5
20.22,85.904,33.2
20.22,85.908,34.5
20.22,85.912,34.8
20.22,85.916,30.6
20.22,85.92,32.6
20.224,85.74,34.3
20.224,85.744,35.1
20.224,85.748,36.2
20.224,85.752,36.2
20.224,85.756,35.6
20.224,85.76,35.1
20.224,85.764,30.3
20.224,85.768,33.6
20.224,85.772,30.7
20.224,85.776,35.9
20.224,85.78,37.1
20.224,85.784,37.0
20.224,85.788,33.3
20.224,85.792,36.4
20.224,85.796,36.8
20.224,85.8,33.5
20.224,85.804,33.9
20.224,85.808,31.8
20.224,85.812,31.3
20.224,85.816,36.7
20.224,85.82,35.0
20.224,85.824,30.8
20.224,85.828,37.0
20.224,85.832,30.3
20.224,85.836,36.6
20.224,85.84,32.4
20.224,85.844,32.8
20.224,85.848,32.0
20.224,85.852,35.1
20.224,85.856,34.7
20.224,85.86,36.7
20.224,85.864,34.8
20.224,85.868,34.7
20.224,85.872,36.5
20.224,85.876,34.5
20.224,85.88,33.5
20.224,85.884,35.6
20.224,85.888,32.4
20.224,85.892,31.6
20.224,85.896,34.1
20.224,85.9,36.5
20.224,85.904,30.5
20.224,85.908,32.5
20.224,85.912,36.5
20.224,85.916,35.3
20.224,85.92,35.2
20.228,85.74,34.8
20.228,85.744,35.8
20.228,85.748,37.0
20.228,85.752,33.3
20.228,85.756,31.9
20.228,85.76,32.1
20.228,85.764,32.3
20.228,85.768,31.0
20.228,85.772,32.6
20.228,85.776,34.4
20.228,85.78,31.6
20.228,85.784,36.9
20.228,85.788,34.3
20.228,85.792,31.2
20.228,85.796,32.5
20.228,85.8,32.9
20.228,85.804,35.4
20.228,85.808,32.4
20.228,85.812,34.4
20.228,85.816,31.6
20.228,85.82,33.0
20.228,85.824,33.2
20.228,85.828,35.7
20.228,85.832,35.8
20.228,85.836,36.8
20.228,85.84,31.1
20.228,85.844,34.9
20.228,85.848,34.4
20.228,85.852,31.0
20.228,85.856,30.3
20.228,85.86,36.2
20.228,85.864,32.5
20.228,85.868,36.0
20.228,85.872,32.3
20.228,85.876,31.8
20.228,85.88,35.0
20.228,85.884,31.3
20.228,85.888,32.2
20.228,85.892,35.5
20.228,85.896,36.2
20.228,85.9,36.1
20.228,85.904,30.5
20.228,85.908,32.5
20.228,85.912,33.8
20.228,85.916,35.1
20.228,85.92,32.2
20.232,85.74,36.4
20.232,85.744,34.5
20.232,85.748,34.9
20.232,85.752,31.9
20.232,85.756,32.5
20.232,85.76,37.2
20.232,85.764,30.9
20.232,85.768,36.1
20.232,85.772,31.5
20.232,85.776,35.5
20.232,85.78,36.4
20.232,85.784,37.0
20.232,85.788,32.0
20.232,85.792,35.6
20.232,85.796,36.9
20.232,85.8,35.9
20.232,85.804,36.4
20.232,85.808,35.5
20.232,85.812,32.5
20.232,85.816,36.1
20.232,85.82,36.8
20.232,85.824,31.6
20.232,85.828,30.6
20.232,85.832,33.2
20.232,85.836,33.4
20.232,85.84,33.8
20.232,85.844,32.9
20.232,85.848,33.2
20.232,85.852,30.9
20.232,85.856,35.5
20.232,85.86,32.4
20.232,85.864,36.9
20.232,85.868,35.3
20.232,85.872,34.3
20.232,85.876,31.1
20.232,85.88,32.7
20.232,85.884,36.0
20.232,85.888,36.5
20.232,85.892,30.8
20.232,85.896,37.0
20.232,85.9,32.6
20.232,85.904,35.0
20.232,85.908,34.5
20.232,85.912,33.5
20.232,85.916,33.8
20.232,85.92,36.7
20.236,85.74,32.1
20.236,85.744,36.3
20.236,85.748,32.0
20.236,85.752,35.2
20.236,85.756,33.2
20.236,85.76,36.6
20.236,85.764,31.3
20.236,85.768,36.1
20.236,85.772,36.6
20.236,85.776,33.3
20.236,85.78,37.5
20.236,85.784,35.4
20.236,85.788,31.8
20.236,85.792,31.0
20.236,85.796,33.1
20.236,85.8,33.9
20.236,85.804,37.2
20.236,85.808,31.4
20.236,85.812,34.2
20.236,85.816,33.0
20.236,85.82,33.7
20.236,85.824,31.7
20.236,85.828,35.7
20.236,85.832,32.3
20.236,85.836,31.5
20.236,85.84,33.4
20.236,85.844,32.7
20.236,85.848,34.8
