lat,lng,elevation_m
12.92,80.12,10.4
12.92,80.124,10.4
12.92,80.128,9.0
12.92,80.132,9.9
12.92,80.136,9.2
12.92,80.14,8.9
12.92,80.144,9.3
12.92,80.148,8.2
12.92,80.152,8.1
12.92,80.156,8.6
12.92,80.16,8.3
12.92,80.164,7.7
12.92,80.168,7.7
12.92,80.172,7.6
12.92,80.176,7.5
12.92,80.18,6.7
12.92,80.184,6.2
12.92,80.188,6.3
12.92,80.192,5.9
12.92,80.196,6.1
12.92,80.2,6.0
12.92,80.204,5.7
12.92,80.208,5.6
12.92,80.212,5.5
12.92,80.216,5.4
12.92,80.22,4.6
12.92,80.224,4.8
12.92,80.228,4.2
12.92,80.232,4.1
12.92,80.236,3.1
12.92,80.24,3.3
12.92,80.244,3.7
12.92,80.248,2.6
12.92,80.252,2.5
12.92,80.256,2.3
12.92,80.26,2.3
12.92,80.264,1.9
12.92,80.268,2.4
12.92,80.272,1.4
12.92,80.276,2.0
12.92,80.28,1.1
12.92,80.284,1.4
12.92,80.288,0.9
12.924,80.12,10.3
12.924,80.124,9.2
12.924,80.128,10.2
12.924,80.132,9.0
12.924,80.136,8.6
12.924,80.14,9.5
12.924,80.144,8.1
12.924,80.148,7.9
12.924,80.152,7.9
12.924,80.156,8.5
12.924,80.16,8.0
12.924,80.164,7.3
12.924,80.168,7.4
12.924,80.172,6.7
12.924,80.176,7.5
12.924,80.18,6.7
12.924,80.184,6.2
12.924,80.188,6.1
12.924,80.192,6.2
12.924,80.196,6.4
12.924,80.2,5.9
12.924,80.204,5.8
12.924,80.208,4.7
12.924,80.212,4.7
12.924,80.216,4.8
12.924,80.22,5.1
12.924,80.224,4.4
12.924,80.228,4.6
12.924,80.232,3.7
12.924,80.236,4.2
12.924,80.24,3.0
12.924,80.244,3.3
12.924,80.248,3.4
12.924,80.252,2.4
12.924,80.256,2.8
12.924,80.26,2.1
12.924,80.264,2.3
12.924,80.268,2.3
12.924,80.272,2.1
12.924,80.276,1.5
12.924,80.28,0.6
12.924,80.284,1.0
12.924,80.288,1.2
12.928,80.12,9.5
12.928,80.124,10.0
12.928,80.128,9.0
12.928,80.132,9.3
12.928,80.136,9.1
12.928,80.14,8.8
12.928,80.144,8.5
12.928,80.148,9.0
12.928,80.152,8.2
12.928,80.156,7.6
12.928,80.16,7.4
12.928,80.164,7.6
12.928,80.168,7.6
12.928,80.172,7.3
12.928,80.176,7.5
12.928,80.18,7.1
12.928,80.184,6.5
12.928,80.188,6.7
12.928,80.192,6.2
12.928,80.196,5.6
12.928,80.2,5.3
12.928,80.204,6.0
12.928,80.208,4.9
12.928,80.212,4.9
12.928,80.216,5.1
12.928,80.22,4.6
12.928,80.224,4.5
12.928,80.228,3.9
12.928,80.232,3.9
12.928,80.236,3.4
12.928,80.24,3.4
12.928,80.244,3.0
12.928,80.248,2.7
12.928,80.252,2.5
12.928,80.256,2.7
12.928,80.26,2.8
12.928,80.264,2.2
12.928,80.268,1.9
12.928,80.272,1.3
12.928,80.276,1.1
12.928,80.28,1.1
12.928,80.284,1.1
12.928,80.288,0.6
12.932,80.12,10.0
12.932,80.124,10.1
12.932,80.128,9.5
12.932,80.132,8.7
12.932,80.136,8.9
12.932,80.14,8.8
12.932,80.144,8.4
12.932,80.148,8.7
12.932,80.152,8.1
12.932,80.156,8.1
12.932,80.16,7.6
12.932,80.164,8.3
12.932,80.168,7.5
12.932,80.172,7.0
12.932,80.176,6.9
12.932,80.18,6.5
12.932,80.184,6.2
12.932,80.188,6.6
12.932,80.192,5.8
12.932,80.196,6.2
12.932,80.2,6.2
12.932,80.204,5.7
12.932,80.208,4.8
12.932,80.212,5.3
12.932,80.216,4.5
12.932,80.22,4.6
12.932,80.224,4.6
12.932,80.228,4.2
12.932,80.232,4.5
12.932,80.236,4.1
12.932,80.24,3.2
12.932,80.244,3.0
12.932,80.248,2.7
12.932,80.252,3.0
12.932,80.256,2.1
12.932,80.26,1.7
12.932,80.264,1.5
12.932,80.268,1.6
12.932,80.272,2.2
12.932,80.276,1.6
12.932,80.28,1.6
12.932,80.284,0.5
12.932,80.288,0.5
12.936,80.12,9.7
12.936,80.124,9.8
12.936,80.128,9.4
12.936,80.132,10.0
12.936,80.136,8.8
12.936,80.14,9.4
12.936,80.144,8.2
12.936,80.148,7.9
12.936,80.152,8.3
12.936,80.156,8.1
12.936,80.16,8.1
12.936,80.164,7.2
12.936,80.168,7.8
12.936,80.172,7.7
12.936,80.176,6.4
12.936,80.18,6.4
12.936,80.184,6.6
12.936,80.188,6.2
12.936,80.192,6.2
12.936,80.196,6.0
12.936,80.2,6.0
12.936,80.204,5.2
12.936,80.208,5.7
12.936,80.212,4.7
12.936,80.216,4.9
12.936,80.22,4.4
12.936,80.224,4.4
12.936,80.228,3.5
12.936,80.232,4.5
12.936,80.236,3.1
12.936,80.24,3.8
12.936,80.244,3.4
12.936,80.248,2.7
12.936,80.252,2.2
12.936,80.256,2.2
12.936,80.26,2.4
12.936,80.264,1.7
12.936,80.268,1.8
12.936,80.272,1.9
12.936,80.276,1.4
12.936,80.28,0.6
12.936,80.284,0.7
12.936,80.288,0.7
12.94,80.12,10.5
12.94,80.124,9.2
12.94,80.128,9.2
12.94,80.132,9.1
12.94,80.136,9.5
12.94,80.14,9.0
12.94,80.144,9.1
12.94,80.148,8.1
12.94,80.152,7.8
12.94,80.156,7.7
12.94,80.16,7.4
12.94,80.164,7.3
12.94,80.168,6.9
12.94,80.172,6.6
12.94,80.176,7.3
12.94,80.18,6.8
12.94,80.184,6.9
12.94,80.188,6.8
12.94,80.192,6.0
12.94,80.196,5.8
12.94,80.2,5.4
12.94,80.204,5.3
12.94,80.208,4.9
12.94,80.212,5.0
12.94,80.216,4.7
12.94,80.22,4.7
12.94,80.224,4.8
12.94,80.228,4.4
12.94,80.232,4.0
12.94,80.236,3.0
12.94,80.24,3.1
12.94,80.244,3.4
12.94,80.248,3.5
12.94,80.252,2.9
12.94,80.256,1.9
12.94,80.26,2.7
12.94,80.264,2.5
12.94,80.268,2.0
12.94,80.272,2.0
12.94,80.276,1.0
12.94,80.28,1.2
12.94,80.284,0.9
12.94,80.288,0.7
12.944,80.12,10.7
12.944,80.124,9.7
12.944,80.128,10.0
12.944,80.132,10.0
12.944,80.136,9.1
12.944,80.14,8.8
12.944,80.144,8.5
12.944,80.148,8.0
12.944,80.152,7.8
12.944,80.156,7.9
12.944,80.16,7.8
12.944,80.164,7.8
12.944,80.168,7.3
12.944,80.172,7.5
12.944,80.176,6.3
12.944,80.18,6.2
12.944,80.184,6.2
12.944,80.188,5.8
12.944,80.192,6.4
12.944,80.196,6.3
12.944,80.2,6.0
12.944,80.204,4.8
12.944,80.208,5.7
12.944,80.212,4.9
12.944,80.216,4.2
12.944,80.22,4.5
12.944,80.224,4.5
12.944,80.228,4.1
12.944,80.232,3.8
12.944,80.236,3.1
12.944,80.24,3.1
12.944,80.244,2.7
12.944,80.248,2.7
12.944,80.252,3.3
12.944,80.256,2.5
12.944,80.26,1.7
12.944,80.264,2.3
12.944,80.268,2.3
12.944,80.272,1.9
12.944,80.276,1.2
12.944,80.28,0.6
12.944,80.284,0.9
12.944,80.288,0.6
12.948,80.12,10.5
12.948,80.124,9.3
12.948,80.128,10.2
12.948,80.132,9.6
12.948,80.136,8.7
12.948,80.14,9.5
12.948,80.144,8.4
12.948,80.148,8.8
12.948,80.152,8.2
12.948,80.156,8.0
12.948,80.16,7.8
12.948,80.164,7.5
12.948,80.168,6.9
12.948,80.172,6.8
12.948,80.176,7.1
12.948,80.18,7.0
12.948,80.184,6.0
12.948,80.188,5.7
12.948,80.192,6.4
12.948,80.196,6.3
12.948,80.2,5.4
12.948,80.204,5.8
12.948,80.208,4.9
12.948,80.212,4.3
12.948,80.216,5.0
12.948,80.22,5.0
12.948,80.224,4.4
12.948,80.228,4.3
12.948,80.232,4.3
12.948,80.236,3.6
12.948,80.24,3.4
12.948,80.244,3.0
12.948,80.248,3.3
12.948,80.252,2.6
12.948,80.256,3.1
12.948,80.26,2.8
12.948,80.264,2.7
12.948,80.268,1.5
12.948,80.272,1.5
12.948,80.276,1.9
12.948,80.28,1.1
12.948,80.284,0.8
12.948,80.288,0.9
12.952,80.12,10.6
12.952,80.124,9.7
12.952,80.128,10.2
12.952,80.132,9.7
12.952,80.136,9.3
12.952,80.14,8.5
12.952,80.144,9.3
12.952,80.148,8.0
12.952,80.152,8.9
12.952,80.156,7.8
12.952,80.16,7.3
12.952,80.164,8.1
12.952,80.168,6.9
12.952,80.172,7.7
12.952,80.176,6.3
12.952,80.18,6.3
12.952,80.184,7.0
12.952,80.188,6.9
12.952,80.192,5.5
12.952,80.196,6.2
12.952,80.2,5.3
12.952,80.204,5.6
12.952,80.208,5.1
12.952,80.212,4.4
12.952,80.216,4.5
12.952,80.22,4.8
12.952,80.224,4.3
12.952,80.228,4.7
12.952,80.232,4.0
12.952,80.236,4.1
12.952,80.24,3.4
12.952,80.244,3.3
12.952,80.248,3.1
12.952,80.252,2.4
12.952,80.256,2.8
12.952,80.26,2.0
12.952,80.264,1.8
12.952,80.268,1.4
12.952,80.272,2.3
12.952,80.276,1.8
12.952,80.28,1.5
12.952,80.284,0.5
12.952,80.288,0.5
12.956,80.12,9.8
12.956,80.124,9.2
12.956,80.128,9.4
12.956,80.132,8.8
12.956,80.136,9.0
12.956,80.14,8.8
12.956,80.144,8.4
12.956,80.148,8.4
12.956,80.152,8.5
12.956,80.156,7.6
12.956,80.16,7.4
12.956,80.164,7.7
12.956,80.168,7.2
12.956,80.172,7.4
12.956,80.176,6.9
12.956,80.18,6.8
12.956,80.184,6.2
12.956,80.188,6.5
12.956,80.192,6.0
12.956,80.196,6.1
12.956,80.2,6.1
12.956,80.204,5.4
12.956,80.208,4.9
12.956,80.212,5.0
12.956,80.216,4.2
12.956,80.22,5.1
12.956,80.224,4.9
12.956,80.228,3.8
12.956,80.232,4.5
12.956,80.236,3.9
12.956,80.24,3.4
12.956,80.244,2.9
12.956,80.248,3.6
12.956,80.252,3.2
12.956,80.256,2.0
12.956,80.26,2.2
12.956,80.264,1.9
12.956,80.268,1.6
12.956,80.272,1.9
12.956,80.276,0.8
12.956,80.28,1.7
12.956,80.284,0.9
12.956,80.288,0.5
12.96,80.12,10.5
12.96,80.124,10.2
12.96,80.128,10.2
12.96,80.132,9.9
12.96,80.136,9.5
12.96,80.14,9.4
12.96,80.144,9.2
12.96,80.148,8.8
12.96,80.152,7.9
12.96,80.156,8.4
12.96,80.16,7.5
12.96,80.164,7.2
12.96,80.168,7.1
