lat,lng,elevation_m
22.45,88.28,3.1
22.45,88.283,2.2
22.45,88.286,2.9
22.45,88.289,2.9
22.45,88.292,3.5
22.45,88.295,2.1
22.45,88.298,3.2
22.45,88.301,3.6
22.45,88.304,3.0
22.45,88.307,3.2
22.45,88.31,2.2
22.45,88.313,3.1
22.45,88.316,2.7
22.45,88.319,3.1
22.45,88.322,3.2
22.45,88.325,3.5
22.45,88.328,3.2
22.45,88.331,3.1
22.45,88.334,3.0
22.45,88.337,2.6
22.45,88.34,2.4
22.45,88.343,3.0
22.45,88.346,3.4
22.45,88.349,3.5
22.45,88.352,3.2
22.45,88.355,3.6
22.45,88.358,2.5
22.45,88.361,2.8
22.45,88.364,3.6
22.45,88.367,3.5
22.45,88.37,3.1
22.45,88.373,2.6
22.45,88.376,2.4
22.45,88.379,2.4
22.45,88.382,3.6
22.45,88.385,3.6
22.45,88.388,2.1
22.45,88.391,3.2
22.45,88.394,2.1
22.45,88.397,3.2
22.45,88.4,2.6
22.45,88.403,3.1
22.45,88.406,2.8
22.45,88.409,2.0
22.45,88.412,3.7
22.45,88.415,2.5
22.45,88.418,3.5
22.45,88.421,3.3
22.45,88.424,2.7
22.45,88.427,3.2
22.45,88.43,3.1
22.45,88.433,2.8
22.45,88.436,3.4
22.45,88.439,2.7
22.45,88.442,3.2
22.45,88.445,3.2
22.45,88.448,3.7
22.45,88.451,3.2
22.45,88.454,3.6
22.45,88.457,3.6
22.45,88.46,2.6
22.453,88.28,2.4
22.453,88.283,3.7
22.453,88.286,2.8
22.453,88.289,3.0
22.453,88.292,3.7
22.453,88.295,2.5
22.453,88.298,2.7
22.453,88.301,3.3
22.453,88.304,3.3
22.453,88.307,2.7
22.453,88.31,3.4
22.453,88.313,2.8
22.453,88.316,3.6
22.453,88.319,2.2
22.453,88.322,2.3
22.453,88.325,2.5
22.453,88.328,2.1
22.453,88.331,3.2
22.453,88.334,2.0
22.453,88.337,2.6
22.453,88.34,3.4
22.453,88.343,3.1
22.453,88.346,3.6
22.453,88.349,2.9
22.453,88.352,3.4
22.453,88.355,2.3
22.453,88.358,2.7
22.453,88.361,2.3
22.453,88.364,3.4
22.453,88.367,2.7
22.453,88.37,2.7
22.453,88.373,2.5
22.453,88.376,2.8
22.453,88.379,2.2
22.453,88.382,3.6
22.453,88.385,2.0
22.453,88.388,3.5
22.453,88.391,2.5
22.453,88.394,2.4
22.453,88.397,3.3
22.453,88.4,3.0
22.453,88.403,2.2
22.453,88.406,2.3
22.453,88.409,2.2
22.453,88.412,3.4
22.453,88.415,2.1
22.453,88.418,3.2
22.453,88.421,2.5
22.453,88.424,2.9
22.453,88.427,2.4
22.453,88.43,3.4
22.453,88.433,2.3
22.453,88.436,2.7
22.453,88.439,2.2
22.453,88.442,3.3
22.453,88.445,3.5
22.453,88.448,2.4
22.453,88.451,3.4
22.453,88.454,2.8
22.453,88.457,2.7
22.453,88.46,3.1
22.456,88.28,2.8
22.456,88.283,2.2
22.456,88.286,3.6
22.456,88.289,3.6
22.456,88.292,2.1
22.456,88.295,3.1
22.456,88.298,3.3
22.456,88.301,2.9
22.456,88.304,3.0
22.456,88.307,2.7
22.456,88.31,2.3
22.456,88.313,3.6
22.456,88.316,2.2
22.456,88.319,3.3
22.456,88.322,2.8
22.456,88.325,3.6
22.456,88.328,3.0
22.456,88.331,2.6
22.456,88.334,2.4
22.456,88.337,3.4
22.456,88.34,3.2
22.456,88.343,3.3
22.456,88.346,2.3
22.456,88.349,3.6
22.456,88.352,2.9
22.456,88.355,2.8
22.456,88.358,2.5
22.456,88.361,3.2
22.456,88.364,3.6
22.456,88.367,2.9
22.456,88.37,2.2
22.456,88.373,2.4
22.456,88.376,3.7
22.456,88.379,3.5
22.456,88.382,3.6
22.456,88.385,3.2
22.456,88.388,3.2
22.456,88.391,2.7
22.456,88.394,2.6
22.456,88.397,3.3
22.456,88.4,2.3
22.456,88.403,3.6
22.456,88.406,2.8
22.456,88.409,2.3
22.456,88.412,2.8
22.456,88.415,3.2
22.456,88.418,2.7
22.456,88.421,2.4
22.456,88.424,2.1
22.456,88.427,2.5
22.456,88.43,2.2
22.456,88.433,3.5
22.456,88.436,3.6
22.456,88.439,3.1
22.456,88.442,2.7
22.456,88.445,2.3
22.456,88.448,2.8
22.456,88.451,3.0
22.456,88.454,2.1
22.456,88.457,3.6
22.456,88.46,2.6
22.459,88.28,3.0
22.459,88.283,3.7
22.459,88.286,2.1
22.459,88.289,3.6
22.459,88.292,2.9
22.459,88.295,3.2
22.459,88.298,3.3
22.459,88.301,2.2
22.459,88.304,2.4
22.459,88.307,2.9
22.459,88.31,3.5
22.459,88.313,2.4
22.459,88.316,2.8
22.459,88.319,3.1
22.459,88.322,2.5
22.459,88.325,3.0
22.459,88.328,3.4
22.459,88.331,3.4
22.459,88.334,2.4
22.459,88.337,2.7
22.459,88.34,3.4
22.459,88.343,3.3
22.459,88.346,2.9
22.459,88.349,2.4
22.459,88.352,2.1
22.459,88.355,2.3
22.459,88.358,2.7
22.459,88.361,2.7
22.459,88.364,3.3
22.459,88.367,3.0
22.459,88.37,2.7
22.459,88.373,3.6
22.459,88.376,2.1
22.459,88.379,3.2
22.459,88.382,3.1
22.459,88.385,3.1
22.459,88.388,2.9
22.459,88.391,2.5
22.459,88.394,2.3
22.459,88.397,2.7
22.459,88.4,3.1
22.459,88.403,3.5
22.459,88.406,3.5
22.459,88.409,3.2
22.459,88.412,3.6
22.459,88.415,2.3
22.459,88.418,2.3
22.459,88.421,3.3
22.459,88.424,3.5
22.459,88.427,2.5
22.459,88.43,3.1
22.459,88.433,3.6
22.459,88.436,3.1
22.459,88.439,2.4
22.459,88.442,2.6
22.459,88.445,3.5
22.459,88.448,3.2
22.459,88.451,3.5
22.459,88.454,3.4
22.459,88.457,2.4
22.459,88.46,2.7
22.462,88.28,2.3
22.462,88.283,2.8
22.462,88.286,2.2
22.462,88.289,2.7
22.462,88.292,2.2
22.462,88.295,2.8
22.462,88.298,3.6
22.462,88.301,3.0
22.462,88.304,2.9
22.462,88.307,3.0
22.462,88.31,2.8
22.462,88.313,2.9
22.462,88.316,3.7
22.462,88.319,3.4
22.462,88.322,3.5
22.462,88.325,3.5
22.462,88.328,2.4
22.462,88.331,2.2
22.462,88.334,2.1
22.462,88.337,2.3
22.462,88.34,2.8
22.462,88.343,2.7
22.462,88.346,3.5
22.462,88.349,3.5
22.462,88.352,3.0
22.462,88.355,3.6
22.462,88.358,3.0
22.462,88.361,3.0
22.462,88.364,3.7
22.462,88.367,3.3
22.462,88.37,3.7
22.462,88.373,2.9
22.462,88.376,3.4
22.462,88.379,3.2
22.462,88.382,3.7
22.462,88.385,3.4
22.462,88.388,3.0
22.462,88.391,2.5
22.462,88.394,2.8
22.462,88.397,2.4
22.462,88.4,2.8
22.462,88.403,2.5
22.462,88.406,2.3
22.462,88.409,3.8
22.462,88.412,3.7
22.462,88.415,3.8
22.462,88.418,3.8
22.462,88.421,2.3
22.462,88.424,2.4
22.462,88.427,3.3
22.462,88.43,2.1
