lat,lng,elevation_m
18.9,72.78,2.0
18.9,72.783,0.9
18.9,72.786,1.6
18.9,72.789,0.8
18.9,72.792,2.1
18.9,72.795,0.8
18.9,72.798,1.6
18.9,72.801,1.2
18.9,72.804,1.8
18.9,72.807,1.6
18.9,72.81,1.9
18.9,72.813,0.9
18.9,72.816,0.8
18.9,72.819,1.1
18.9,72.822,1.4
18.9,72.825,2.1
18.9,72.828,1.2
18.9,72.831,2.0
18.9,72.834,3.0
18.9,72.837,2.7
18.9,72.84,2.7
18.9,72.843,2.8
18.9,72.846,3.1
18.9,72.849,2.4
18.9,72.852,3.3
18.9,72.855,2.6
18.9,72.858,2.4
18.9,72.861,3.1
18.9,72.864,4.2
18.9,72.867,3.1
18.9,72.87,4.1
18.9,72.873,3.2
18.9,72.876,3.2
18.9,72.879,4.7
18.9,72.882,3.6
18.9,72.885,4.0
18.9,72.888,4.6
18.9,72.891,3.8
18.9,72.894,4.6
18.9,72.897,4.6
18.9,72.9,5.0
18.9,72.903,4.3
18.9,72.906,4.9
18.9,72.909,4.8
18.9,72.912,4.5
18.9,72.915,4.7
18.9,72.918,5.9
18.9,72.921,6.1
18.9,72.924,5.0
18.9,72.927,5.9
18.9,72.93,6.2
18.9,72.933,5.3
18.9,72.936,5.5
18.9,72.939,6.2
18.9,72.942,5.9
18.9,72.945,6.3
18.9,72.948,6.5
18.9,72.951,6.0
18.9,72.954,7.3
18.9,72.957,7.5
18.9,72.96,7.2
18.9,72.963,7.2
18.9,72.966,7.8
18.9,72.969,8.1
18.9,72.972,7.0
18.9,72.975,7.4
18.9,72.978,7.7
18.903,72.78,1.7
18.903,72.783,1.8
18.903,72.786,0.8
18.903,72.789,1.5
18.903,72.792,2.2
18.903,72.795,1.1
18.903,72.798,1.1
18.903,72.801,0.8
18.903,72.804,2.2
18.903,72.807,1.6
18.903,72.81,1.2
18.903,72.813,2.0
18.903,72.816,1.2
18.903,72.819,2.1
18.903,72.822,2.1
18.903,72.825,1.5
18.903,72.828,1.4
18.903,72.831,2.1
18.903,72.834,2.9
18.903,72.837,2.5
18.903,72.84,2.1
18.903,72.843,2.3
18.903,72.846,2.0
18.903,72.849,3.1
18.903,72.852,2.9
18.903,72.855,3.6
18.903,72.858,3.0
18.903,72.861,2.7
18.903,72.864,2.6
18.903,72.867,2.7
18.903,72.87,4.4
18.903,72.873,3.3
18.903,72.876,3.7
18.903,72.879,4.4
18.903,72.882,4.3
18.903,72.885,4.2
18.903,72.888,5.1
18.903,72.891,4.9
18.903,72.894,5.3
18.903,72.897,3.9
18.903,72.9,4.5
18.903,72.903,4.7
18.903,72.906,5.4
18.903,72.909,5.0
18.903,72.912,4.8
18.903,72.915,5.6
18.903,72.918,5.6
18.903,72.921,6.3
18.903,72.924,6.4
18.903,72.927,5.9
18.903,72.93,6.4
18.903,72.933,5.7
18.903,72.936,5.6
18.903,72.939,6.7
18.903,72.942,6.5
18.903,72.945,5.8
18.903,72.948,7.4
18.903,72.951,7.0
18.903,72.954,6.5
18.903,72.957,7.3
18.903,72.96,6.4
18.903,72.963,7.5
18.903,72.966,8.1
18.903,72.969,8.1
18.903,72.972,7.0
18.903,72.975,8.0
18.903,72.978,8.5
18.906,72.78,0.8
18.906,72.783,1.9
18.906,72.786,0.8
18.906,72.789,1.6
18.906,72.792,1.6
18.906,72.795,0.8
18.906,72.798,0.9
