lat,lng,elevation_m
-41.34,174.72,29.1
-41.34,174.723,26.5
-41.34,174.726,30.7
-41.34,174.729,26.6
-41.34,174.732,24.6
-41.34,174.735,28.7
-41.34,174.738,21.7
-41.34,174.741,24.8
-41.34,174.744,22.1
-41.34,174.747,17.6
-41.34,174.75,24.5
-41.34,174.753,16.9
-41.34,174.756,21.4
-41.34,174.759,21.2
-41.34,174.762,16.6
-41.34,174.765,20.7
-41.34,174.768,23.8
-41.34,174.771,19.4
-41.34,174.774,20.6
-41.34,174.777,17.6
-41.34,174.78,16.8
-41.34,174.783,15.3
-41.34,174.786,24.1
-41.34,174.789,13.9
-41.34,174.792,17.8
-41.34,174.795,22.8
-41.34,174.798,21.6
-41.34,174.801,22.5
-41.34,174.804,15.7
-41.34,174.807,18.1
-41.34,174.81,21.7
-41.34,174.813,18.9
-41.34,174.816,18.7
-41.34,174.819,18.6
-41.34,174.822,27.1
-41.34,174.825,29.0
-41.34,174.828,29.9
-41.34,174.831,33.0
-41.34,174.834,26.1
-41.34,174.837,31.3
-41.34,174.84,35.0
-41.337,174.72,35.6
-41.337,174.723,33.7
-41.337,174.726,21.9
-41.337,174.729,31.3
-41.337,174.732,24.2
-41.337,174.735,21.9
-41.337,174.738,20.1
-41.337,174.741,18.4
-41.337,174.744,17.5
-41.337,174.747,18.7
-41.337,174.75,24.0
-41.337,174.753,21.1
-41.337,174.756,17.1
-41.337,174.759,22.3
-41.337,174.762,17.4
-41.337,174.765,16.1
-41.337,174.768,15.3
-41.337,174.771,13.5
-41.337,174.774,18.5
-41.337,174.777,21.5
-41.337,174.78,13.4
-41.337,174.783,21.6
-41.337,174.786,15.1
-41.337,174.789,20.8
-41.337,174.792,14.4
-41.337,174.795,22.0
-41.337,174.798,19.8
-41.337,174.801,18.5
-41.337,174.804,22.5
-41.337,174.807,21.0
-41.337,174.81,24.3
-41.337,174.813,22.8
-41.337,174.816,19.6
-41.337,174.819,19.4
-41.337,174.822,27.5
-41.337,174.825,21.7
-41.337,174.828,29.7
-41.337,174.831,21.5
-41.337,174.834,29.7
-41.337,174.837,25.0
-41.337,174.84,29.0
-41.334,174.72,33.9
-41.334,174.723,30.4
-41.334,174.726,27.4
-41.334,174.729,20.6
-41.334,174.732,23.4
-41.334,174.735,29.4
-41.334,174.738,16.9
-41.334,174.741,23.9
-41.334,174.744,21.5
-41.334,174.747,16.8
-41.334,174.75,16.2
-41.334,174.753,14.3
-41.334,174.756,13.7
-41.334,174.759,16.6
-41.334,174.762,13.6
-41.334,174.765,20.6
-41.334,174.768,17.8
-41.334,174.771,12.1
-41.334,174.774,19.8
-41.334,174.777,13.4
-41.334,174.78,17.6
-41.334,174.783,19.2
-41.334,174.786,10.9
-41.334,174.789,19.7
-41.334,174.792,13.2
-41.334,174.795,14.0
-41.334,174.798,23.2
-41.334,174.801,14.5
-41.334,174.804,23.4
-41.334,174.807,18.0
-41.334,174.81,19.3
-41.334,174.813,23.8
-41.334,174.816,26.4
-41.334,174.819,19.0
-41.334,174.822,26.1
-41.334,174.825,20.9
-41.334,174.828,28.4
-41.334,174.831,26.1
-41.334,174.834,28.9
-41.334,174.837,22.8
-41.334,174.84,23.7
-41.331,174.72,22.9
-41.331,174.723,26.0
-41.331,174.726,26.8
-41.331,174.729,19.0
-41.331,174.732,29.4
-41.331,174.735,27.4
-41.331,174.738,16.7
-41.331,174.741,19.5
-41.331,174.744,25.6
-41.331,174.747,20.2
-41.331,174.75,21.1
-41.331,174.753,19.9
-41.331,174.756,12.4
-41.331,174.759,11.2
-41.331,174.762,20.7
-41.331,174.765,18.1
-41.331,174.768,21.0
-41.331,174.771,20.4
-41.331,174.774,10.0
-41.331,174.777,15.8
-41.331,174.78,19.4
-41.331,174.783,14.4
-41.331,174.786,14.5
-41.331,174.789,11.1
-41.331,174.792,20.9
-41.331,174.795,22.2
-41.331,174.798,19.5
-41.331,174.801,11.8
-41.331,174.804,18.9
-41.331,174.807,12.4
-41.331,174.81,16.1
-41.331,174.813,14.7
-41.331,174.816,24.1
-41.331,174.819,17.1
-41.331,174.822,21.6
-41.331,174.825,25.4
-41.331,174.828,21.4
-41.331,174.831,25.2
-41.331,174.834,30.3
-41.331,174.837,32.7
-41.331,174.84,24.5
-41.328,174.72,23.4
-41.328,174.723,24.9
-41.328,174.726,27.0
-41.328,174.729,24.4
-41.328,174.732,24.6
-41.328,174.735,21.4
-41.328,174.738,25.9
-41.328,174.741,20.9
